time,Ia,Ib,Ic,Vab,Vbc,Vca,Torque,Speed,Category
0.097,-510.1826289,776.1654399,-265.982811,586.6042719,580.8516622,586.6359585,-339.8912036,424.2798989,NOM
0.0975,-413.2633495,811.0262679,-397.7629184,586.5990107,580.8524584,586.6318273,-337.0203508,420.2037797,NOM
0.098,-321.0719428,844.4266795,-523.3547367,586.594603,580.8537029,586.6273945,-332.9977089,416.1755755,NOM
0.0985,-199.0461805,804.9723255,-605.926145,581.7070062,586.6284558,586.6227857,-297.4641557,412.2065208,NOM
0.099,-51.256522,696.1249058,-644.8683838,581.705732,586.6293449,586.6182147,-228.9684436,408.6685988,NOM
0.0995,89.57086383,592.4788764,-682.0497402,581.7056702,586.6290472,586.6140132,-158.7380683,406.1364468,NOM
0.1,223.7729394,493.8859511,-717.6588905,581.7063969,586.6286837,586.6102407,-87.43325383,404.6394,NOM
0.1005,351.6747712,400.1854031,-751.8601743,581.7079149,586.6282606,586.6071736,-15.99005648,404.0038719,NOM
0.101,473.5892588,311.2187576,-784.8080165,570.586877,586.6278628,596.7997972,54.43342086,404.2275499,NOM
0.1015,552.7032162,192.3814847,-745.084701,570.5917994,586.627392,596.7969569,126.1219133,405.2926543,NOM
0.102,588.4285585,47.70400162,-636.1325602,570.6000191,586.6267484,596.7951382,204.6528768,407.2073502,NOM
0.1025,622.4685833,-89.91766186,-532.5509214,570.6092402,586.6261008,596.7953902,290.6599431,410.0669265,NOM
0.103,655.0024297,-220.8126334,-434.1897963,570.6189925,586.6256441,596.7976445,382.8590132,413.9938848,NOM
0.1035,686.1915675,-345.297309,-340.8942585,570.6290526,586.6251476,596.8017821,479.7089073,419.0658879,NOM
0.104,644.6282477,-426.512456,-218.1157917,570.639033,581.7405825,602.1584879,531.0297499,425.3307539,NOM
0.1045,533.7776062,-463.7505743,-70.02703193,570.6486459,581.740759,602.1649893,543.8443944,432.2357881,NOM
0.105,428.2535834,-498.8507933,70.59720986,570.6576338,581.7408998,602.1714482,573.4931761,439.0218492,NOM
0.1055,327.9478845,-532.0473805,204.099496,570.6656294,581.7406123,602.1786479,618.7594901,445.9318053,NOM
0.106,232.7440733,-563.5593258,330.8152526,570.6723964,581.7399841,602.1864054,678.0780618,453.4823724,NOM
0.1065,142.5205644,-593.5825895,451.062025,581.7453441,570.6162278,602.1945119,749.5674175,461.834005,NOM
0.107,22.90041431,-550.7469996,527.8465852,581.7479754,570.6172916,602.2025879,750.140697,471.12261,NOM
0.1075,-121.6192565,-438.5761624,560.1954189,581.7488325,570.6209261,602.2101968,687.4964831,480.4904322,NOM
0.108,-258.6841251,-331.686019,590.3701441,581.7490139,570.6250632,602.217238,648.1715414,488.6869761,NOM
0.1085,-388.6237248,-230.0255347,618.6492596,581.7484347,570.6294446,602.223579,630.8325973,496.0365863,NOM
0.109,-511.7731216,-133.5268118,645.2999334,581.7470453,570.6340297,602.228821,633.720674,503.3182199,NOM
0.1095,-591.031139,-7.980944085,599.0120831,586.6568059,570.638673,596.9099532,577.1581389,510.7653591,NOM
0.11,-625.2222816,141.8426893,483.3795923,586.6528372,570.6432902,596.9127803,464.3157695,517.6578512,NOM
0.1105,-657.0501025,284.0458908,373.0042117,586.6469534,570.6478192,596.9138287,373.6157588,522.8483765,NOM
0.111,-686.8080705,418.9531875,267.854883,586.6402665,570.6520373,596.9124727,304.1628413,526.6202202,NOM
0.1115,-714.7817157,546.9009593,167.8807565,586.6331051,570.6557376,596.9087026,254.5985277,529.6951034,NOM
0.112,-741.2330986,668.2312134,73.0018852,586.6257565,581.7269242,586.6531364,223.1808878,532.3051008,NOM
0.1125,-694.8633831,745.7605926,-50.89720951,586.6184292,581.7280333,586.6470995,165.9145287,534.6587173,NOM
0.113,-579.292603,778.1896835,-198.8970805,586.6112617,581.7281259,586.6416375,83.25556278,536.437014,NOM
0.1135,-469.073285,808.5382625,-339.4649775,586.604758,581.7282085,586.6350721,14.01774763,537.0743236,NOM
0.114,-364.1316247,837.0797296,-472.9481048,586.5992256,581.7280619,586.6274687,-42.42946505,536.7336072,NOM
0.1145,-264.374847,864.0717522,-599.6969052,586.5947773,581.7274834,586.6191512,-87.13541094,535.7992284,NOM
0.115,-135.6878173,818.2143884,-682.526571,580.8447429,586.6383292,586.6104491,-122.7413466,534.4075888,NOM
0.1155,17.02376759,703.1248108,-720.1485784,580.8433484,586.6354613,586.6017996,-151.0390231,532.6610563,NOM
0.116,162.3055737,593.3368754,-755.6424491,580.8431006,586.6306586,586.5936782,-174.2608716,530.6311109,NOM
0.1165,300.5228559,488.7498482,-789.2727041,580.8433018,586.6248998,586.5863625,-192.5026502,528.3676534,NOM
0.117,432.0358121,389.2435412,-821.2793533,580.843838,586.6184551,586.5800431,-206.2942685,525.9168106,NOM
0.1175,557.19504,294.6901353,-851.8851752,580.8445851,586.6115182,586.5751139,-216.5299381,523.3311352,NOM
0.118,638.8469616,170.906474,-809.7534357,586.6183114,586.6043744,581.6866894,-205.5859731,520.6499138,NOM
0.1185,675.7704981,22.68806262,-698.4585607,586.6181415,586.5973469,581.6851503,-172.543369,518.1206244,NOM
0.119,710.9109548,-118.3930947,-592.5178601,586.6166533,586.5907947,581.6850568,-136.8162422,516.1122291,NOM
0.1195,744.5036488,-252.7004433,-491.8032056,586.6148434,586.5848999,581.6859558,-98.98852045,514.6622394,NOM
0.12,776.7574911,-380.5882334,-396.1692577,586.6127721,586.579953,581.6878147,-60.01777984,513.6798395,NOM
0.1205,736.3222924,-464.9358682,-271.3864242,586.6105498,580.829436,586.6032055,-15.08757251,513.1751747,NOM
0.121,626.7583236,-504.566005,-122.1923186,586.6083358,580.8275347,586.6058625,39.02870666,513.213654,NOM
0.1215,522.5906553,-542.3154193,19.72476404,586.6062908,580.8270263,586.6080467,99.62866516,513.9336592,NOM
0.122,423.6913579,-578.4182516,154.7268937,586.6044633,580.8274,586.6105233,165.7084583,515.4318214,NOM
0.1225,329.9194304,-613.0855978,283.1661675,586.6027425,580.828727,586.6133608,235.8957213,517.7573993,NOM
0.123,241.1337405,-646.515706,405.3819654,586.601444,580.8310487,586.61639,308.5062056,520.9534071,NOM
0.1235,123.1379869,-607.3534679,484.2154811,581.7158315,586.6076274,586.6195425,356.6100577,525.0405547,NOM
